co2_emissions,epoch,ewc_loss,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,train_loss,val_loss/dataloader_idx_0,val_loss/dataloader_idx_1
,27,0.0,2111,,,0.1404675841331482,,
,27,0.0,2144,,,0.10690978169441223,,
,27,,2155,,,,0.05568920820951462,0.1049673929810524
0.000397428753785789,27,,2155,,,,,
,28,0.0,2177,,,0.08152160048484802,,
,28,0.0,2210,,,0.10074304789304733,,
,28,,2232,,,,0.06391838937997818,0.09667600691318512
0.0007782295579090714,28,,2232,,,,,
,29,0.0,2243,,,0.1279716044664383,,
,29,0.0,2276,,,0.09331627190113068,,
,29,0.0,2309,,,0.11513198912143707,,
,29,,2309,,,,0.06972727179527283,0.09847559779882431
0.0011591826332733035,29,,2309,,,,,
,30,0.0,2342,,,0.08655176311731339,,
,30,0.0,2375,,,0.08047263324260712,,
,30,,2386,,,,0.06640097498893738,0.09326166659593582
0.0015441057039424777,30,,2386,,,,,
,31,0.0,2408,,,0.06160156428813934,,
,31,0.0,2441,,,0.08885752409696579,,
,31,,2463,,,,0.07238764315843582,0.08221079409122467
0.0019310354255139828,31,,2463,,,,,
,32,0.0,2474,,,0.07527679949998856,,
,32,0.0,2507,,,0.07730746269226074,,
,32,0.0,2540,,,0.08182977885007858,,
,32,,2540,,,,0.07796766608953476,0.0890139564871788
0.002309815725311637,32,,2540,,,,,
,33,0.0,2573,,,0.11129128187894821,,
,33,0.0,2606,,,0.08486039936542511,,
,33,,2617,,,,0.06571415811777115,0.07557550817728043
0.0026957462541759014,33,,2617,,,,,
,34,0.0,2639,,,0.05862617492675781,,
,34,0.0,2672,,,0.07368477433919907,,
,34,,2694,,,,0.07061780989170074,0.07318168878555298
0.0030840078834444284,34,,2694,,,,,
,35,0.0,2705,,,0.04844171181321144,,
,35,0.0,2738,,,0.06275621056556702,,
,35,0.0,2771,,,0.06142008304595947,,
,35,,2771,,,,0.07086864858865738,0.073902927339077
0.0034746963065117598,35,,2771,,,,,
,36,0.0,2804,,,0.06049942597746849,,
,36,0.0,2837,,,0.06261974573135376,,
,36,,2848,,,,0.06945357471704483,0.06551097333431244
0.0038609912153333426,36,,2848,,,,,
,37,0.0,2870,,,0.057717010378837585,,
,37,0.0,2903,,,0.051510825753211975,,
,37,,2925,,,,0.06401514261960983,0.06694216281175613
0.004250890575349331,37,,2925,,,,,
,38,0.0,2936,,,0.06613120436668396,,
,38,0.0,2969,,,0.07085409760475159,,
,38,0.0,3002,,,0.05293720215559006,,
,38,,3002,,,,0.06600705534219742,0.06464424729347229
