co2_emissions,epoch,ewc_loss,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,train_loss,val_loss/dataloader_idx_0,val_loss/dataloader_idx_1
,27,0.0,2111,,,0.12922818958759308,,
,27,0.0,2144,,,0.14885255694389343,,
,27,,2163,,,,0.035895366221666336,0.11206892132759094
0.0004567628202494234,27,,2163,,,,,
,28,0.0,2177,,,0.10527432709932327,,
,28,0.0,2210,,,0.07562081515789032,,
,28,0.0,2243,,,0.06927987933158875,,
,28,,2248,,,,0.03591223433613777,0.09755388647317886
0.0008878583903424442,28,,2248,,,,,
,29,0.0,2276,,,0.1140032410621643,,
,29,0.0,2309,,,0.07628501951694489,,
,29,,2333,,,,0.03658095747232437,0.09163091331720352
0.0013056746684014797,29,,2333,,,,,
,30,0.0,2342,,,0.08267229795455933,,
,30,0.0,2375,,,0.08320167660713196,,
,30,0.0,2408,,,0.057306066155433655,,
,30,,2418,,,,0.03629755228757858,0.08823882043361664
0.001738306600600481,30,,2418,,,,,
,31,0.0,2441,,,0.08255983889102936,,
,31,0.0,2474,,,0.07969427108764648,,
,31,,2503,,,,0.03583803027868271,0.08080616593360901
0.002165738958865404,31,,2503,,,,,
,32,0.0,2507,,,0.08211196213960648,,
,32,0.0,2540,,,0.06219206377863884,,
,32,0.0,2573,,,0.06367765367031097,,
,32,,2588,,,,0.03716259449720383,0.08238939940929413
0.0025873894337564707,32,,2588,,,,,
,33,0.0,2606,,,0.06847440451383591,,
,33,0.0,2639,,,0.061349090188741684,,
,33,0.0,2672,,,0.06827953457832336,,
,33,,2673,,,,0.03652302920818329,0.07488787174224854
0.0030066370964050293,33,,2673,,,,,
,34,0.0,2705,,,0.05649624764919281,,
,34,0.0,2738,,,0.07827417552471161,,
,34,,2758,,,,0.03744031488895416,0.07381462305784225
0.0034263317938894033,34,,2758,,,,,
,35,0.0,2771,,,0.07727020233869553,,
,35,0.0,2804,,,0.056684114038944244,,
,35,0.0,2837,,,0.05852431058883667,,
,35,,2843,,,,0.03272928297519684,0.07321293652057648
0.0038731249514967203,35,,2843,,,,,
,36,0.0,2870,,,0.06621784716844559,,
,36,0.0,2903,,,0.04990929365158081,,
,36,,2928,,,,0.036391258239746094,0.07356148213148117
0.004285123199224472,36,,2928,,,,,
,37,0.0,2936,,,0.07136700302362442,,
,37,0.0,2969,,,0.043534211814403534,,
,37,0.0,3002,,,0.05881918594241142,,
,37,,3013,,,,0.031601402908563614,0.0673384889960289
0.0047121187672019005,37,,3013,,,,,
,38,0.0,3035,,,0.06440004706382751,,
,38,0.0,3068,,,0.0746239572763443,,
,38,,3098,,,,0.03403797373175621,0.06507620215415955
0.005126361735165119,38,,3098,,,,,
,39,0.0,3101,,,0.04398941993713379,,
,39,0.0,3134,,,0.0706646516919136,,
,39,0.0,3167,,,0.03852517157793045,,
,39,,3183,,,,0.03696846589446068,0.07068607211112976
0.005549982190132141,39,,3183,,,,,
,40,0.0,3200,,,0.043406881392002106,,
,40,0.0,3233,,,0.049655087292194366,,
,40,0.0,3266,,,0.05554191768169403,,
,40,,3268,,,,0.03331393003463745,0.0638701543211937
0.005982894916087389,40,,3268,,,,,
,41,0.0,3299,,,0.0648752897977829,,
,41,0.0,3332,,,0.06837107241153717,,
,41,,3353,,,,0.0329170860350132,0.06107825040817261
0.00641070818528533,41,,3353,,,,,
,42,0.0,3365,,,0.03694732114672661,,
,42,0.0,3398,,,0.05058097094297409,,
,42,0.0,3431,,,0.047069333493709564,,
,42,,3438,,,,0.033183831721544266,0.05842558294534683
0.006838447879999876,42,,3438,,,,,
,43,0.0,3464,,,0.046814821660518646,,
,43,0.0,3497,,,0.05541568994522095,,
,43,,3523,,,,0.03318965807557106,0.059819091111421585
0.007262096740305424,43,,3523,,,,,
,44,0.0,3530,,,0.029672428965568542,,
,44,0.0,3563,,,0.03326945751905441,,
,44,0.0,3596,,,0.05570942163467407,,
,44,,3608,,,,0.03803113102912903,0.06298769265413284
0.007691856008023024,44,,3608,,,,,
,45,0.0,3629,,,0.035351742058992386,,
,45,0.0,3662,,,0.0518663115799427,,
,45,,3693,,,,0.034106507897377014,0.05812912806868553
0.008116726763546467,45,,3693,,,,,
,46,0.0,3695,,,0.0317363515496254,,
,46,0.0,3728,,,0.03903529793024063,,
,46,0.0,3761,,,0.03970814123749733,,
,46,,3778,,,,0.031901199370622635,0.055726308375597
0.008542586117982864,46,,3778,,,,,
,47,0.0,3794,,,0.041495658457279205,,
,47,0.0,3827,,,0.03834415227174759,,
,47,0.0,3860,,,0.034537073224782944,,
,47,,3863,,,,0.03825056925415993,0.059673406183719635
0.008966374211013317,47,,3863,,,,,
,48,0.0,3893,,,0.04263798147439957,,
,48,0.0,3926,,,0.0475848913192749,,
,48,,3948,,,,0.03214837238192558,0.05437696352601051
0.009388776496052742,48,,3948,,,,,
,49,0.0,3959,,,0.04079277068376541,,
,49,0.0,3992,,,0.034465380012989044,,
,49,0.0,4025,,,0.04293391481041908,,
,49,,4033,,,,0.03591020405292511,0.05688144639134407
0.009800820611417294,49,,4033,,,,,
,50,0.0,4058,,,0.028226520866155624,,
,50,0.0,4091,,,0.031969137489795685,,
,50,,4118,,,,0.03622967749834061,0.05841853842139244
0.010223034769296646,50,,4118,,,,,
,51,0.0,4124,,,0.032444849610328674,,
,51,0.0,4157,,,0.028949303552508354,,
,51,0.0,4190,,,0.03280239179730415,,
,51,,4203,,,,0.03189430758357048,0.05597775802016258
0.010639145970344543,51,,4203,,,,,
,52,0.0,4223,,,0.03717228025197983,,
,52,0.0,4256,,,0.0329749621450901,,
,52,,4288,,,,0.03107343055307865,0.05505843088030815
0.011073929257690907,52,,4288,,,,,
,53,0.0,4289,,,0.03172222152352333,,
,53,0.0,4322,,,0.023588363081216812,,
,53,0.0,4355,,,0.04165450483560562,,
,53,,4373,,,,0.0336218997836113,0.055883754044771194
0.011497965082526207,53,,4373,,,,,
,54,0.0,4388,,,0.031157366931438446,,
,54,0.0,4421,,,0.030799366533756256,,
,54,0.0,4454,,,0.029341252520680428,,
,54,,4458,,,,0.0376705564558506,0.05511671304702759
0.011919407173991203,54,,4458,,,,,
,55,0.0,4487,,,0.03293900936841965,,
,55,0.0,4520,,,0.032442353665828705,,
,55,,4543,,,,0.03387996926903725,0.05502169206738472
0.012338760308921337,55,,4543,,,,,
,56,0.0,4553,,,0.02882126346230507,,
,56,0.0,4586,,,0.026252707466483116,,
,56,0.0,4619,,,0.03652677312493324,,
,56,,4628,,,,0.032478559762239456,0.052500464022159576
0.012763100676238537,56,,4628,,,,,
,57,0.0,4652,,,0.02849171869456768,,
,57,0.0,4685,,,0.026084568351507187,,
,57,,4713,,,,0.03305739909410477,0.05517760291695595
0.01319332979619503,57,,4713,,,,,
,58,0.0,4718,,,0.02676994353532791,,
,58,0.0,4751,,,0.023945458233356476,,
,58,0.0,4784,,,0.029559263959527016,,
,58,,4798,,,,0.03220690041780472,0.05097233131527901
0.013621223159134388,58,,4798,,,,,
,59,0.0,4817,,,0.029113147407770157,,
,59,0.0,4850,,,0.025854099541902542,,
,59,0.0,4883,,,0.024262897670269012,,
,59,,4883,,,,0.03213155269622803,0.05524972453713417
0.014047171920537949,59,,4883,,,,,
,60,,4884,0.03220690041780472,0.05097233131527901,,,
