co2_emissions,epoch,ewc_loss,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,train_loss,val_loss/dataloader_idx_0,val_loss/dataloader_idx_1
,27,2.1254773139953613,2111,,,2.2787322998046875,,
,27,0.3517225980758667,2144,,,0.5095197558403015,,
,27,,2155,,,,0.02828405797481537,0.13217134773731232
0.0003988883981946856,27,,2155,,,,,
,28,0.004192292224615812,2177,,,0.1353219449520111,,
,28,0.0006011283840052783,2210,,,0.12493892014026642,,
,28,,2232,,,,0.034071240574121475,0.1208847165107727
0.0007925361860543489,28,,2232,,,,,
,29,0.000341533130267635,2243,,,0.07454977929592133,,
,29,0.000265707029029727,2276,,,0.08491835743188858,,
,29,0.0002962073194794357,2309,,,0.09815016388893127,,
,29,,2309,,,,0.039051659405231476,0.10999015718698502
0.0011702505871653557,29,,2309,,,,,
,30,0.00028303038561716676,2342,,,0.10139057785272598,,
,30,0.0002423266851110384,2375,,,0.08124128729104996,,
,30,,2386,,,,0.038502734154462814,0.09976460039615631
0.001550032407976687,30,,2386,,,,,
,31,0.0002460629912093282,2408,,,0.11538539826869965,,
,31,0.00023197944392450154,2441,,,0.11671063303947449,,
,31,,2463,,,,0.044263776391744614,0.09655588865280151
0.0019293315708637238,31,,2463,,,,,
,32,0.00023995152150746435,2474,,,0.09986282140016556,,
,32,0.00024630894768051803,2507,,,0.08801214396953583,,
,32,0.00028517411556094885,2540,,,0.10405716300010681,,
,32,,2540,,,,0.045778483152389526,0.09187129139900208
0.002315754070878029,32,,2540,,,,,
,33,0.00031541287899017334,2573,,,0.09935341775417328,,
,33,0.0002361959486734122,2606,,,0.07770809531211853,,
,33,,2617,,,,0.0493757538497448,0.0900062844157219
0.0027031884528696537,33,,2617,,,,,
,34,0.00023283004702534527,2639,,,0.08527800440788269,,
,34,0.0002643790503498167,2672,,,0.08954548090696335,,
,34,,2694,,,,0.05108233168721199,0.0855097696185112
0.003082641866058111,34,,2694,,,,,
,35,0.00024457438848912716,2705,,,0.07596009969711304,,
,35,0.0002607222995720804,2738,,,0.06605614721775055,,
,35,0.00021788556477986276,2771,,,0.09402742236852646,,
,35,,2771,,,,0.05262421816587448,0.08350689709186554
0.00346057559363544,35,,2771,,,,,
,36,0.0002518225519452244,2804,,,0.049308910965919495,,
,36,0.00023086434521246701,2837,,,0.08090514689683914,,
,36,,2848,,,,0.05317903310060501,0.08222728222608566
0.0038292857352644205,36,,2848,,,,,
,37,0.00023354447330348194,2870,,,0.08684207499027252,,
,37,0.00026338634779676795,2903,,,0.0658530667424202,,
,37,,2925,,,,0.0571153499186039,0.08279098570346832
0.004210694693028927,37,,2925,,,,,
,38,0.0002473536878824234,2936,,,0.07221847772598267,,
,38,0.0002621622115839273,2969,,,0.07544990628957748,,
,38,0.00025067984825000167,3002,,,0.07219584286212921,,
,38,,3002,,,,0.05964798480272293,0.0784960687160492
0.004589729476720095,38,,3002,,,,,
,39,0.0002371486189076677,3035,,,0.10910546779632568,,
,39,0.00027938291896134615,3068,,,0.06482583284378052,,
,39,,3079,,,,0.05643833428621292,0.07909607142210007
0.004976739175617695,39,,3079,,,,,
,40,0.0003020020085386932,3101,,,0.08500750362873077,,
,40,0.0002570913638919592,3134,,,0.10995319485664368,,
,40,,3156,,,,0.05856039375066757,0.07707641273736954
0.005361015908420086,40,,3156,,,,,
,41,0.0002457936352584511,3167,,,0.05055388808250427,,
,41,0.000261241162661463,3200,,,0.08167891949415207,,
,41,0.0002303501678397879,3233,,,0.05443871021270752,,
,41,,3233,,,,0.06137828901410103,0.0752258449792862
0.005745170637965202,41,,3233,,,,,
,42,0.00027239625342190266,3266,,,0.08315198868513107,,
,42,0.0002542387810535729,3299,,,0.056515391916036606,,
,42,,3310,,,,0.05986735224723816,0.07485850900411606
0.006130637135356665,42,,3310,,,,,
,43,0.0002524064911995083,3332,,,0.07325013726949692,,
,43,0.00022993060701992363,3365,,,0.08856495469808578,,
,43,,3387,,,,0.059865836054086685,0.0741269439458847
0.006525417789816856,43,,3387,,,,,
,44,0.00026340357726439834,3398,,,0.057173650711774826,,
,44,0.00023812951985746622,3431,,,0.08014640212059021,,
,44,0.00021817190281581134,3464,,,0.07926040887832642,,
,44,,3464,,,,0.06318795680999756,0.07222237437963486
0.006913629360496998,44,,3464,,,,,
,45,0.00022861965408083051,3497,,,0.05914883688092232,,
,45,0.00023999973200261593,3530,,,0.059665583074092865,,
,45,,3541,,,,0.06402691453695297,0.07181960344314575
0.007303842343389988,45,,3541,,,,,
,46,0.000253578502452001,3563,,,0.0476188063621521,,
,46,0.0002397781499894336,3596,,,0.07389271259307861,,
,46,,3618,,,,0.059137679636478424,0.06916642934083939
0.007682382594794035,46,,3618,,,,,
,47,0.00023410815629176795,3629,,,0.07742511481046677,,
,47,0.00022061281197238714,3662,,,0.07271474599838257,,
,47,0.00022261092090047896,3695,,,0.053748469799757004,,
,47,,3695,,,,0.05960116162896156,0.06902080029249191
0.008059758692979813,47,,3695,,,,,
,48,0.00021843364811502397,3728,,,0.06340204179286957,,
,48,0.00023363882792182267,3761,,,0.06744148582220078,,
,48,,3772,,,,0.0622350238263607,0.06934374570846558
0.00843729730695486,48,,3772,,,,,
,49,0.0002215224230894819,3794,,,0.06310214847326279,,
,49,0.0002449867024552077,3827,,,0.05204075202345848,,
,49,,3849,,,,0.06335362046957016,0.06986472755670547
0.008812994696199894,49,,3849,,,,,
,50,0.00022303106379695237,3860,,,0.04628786817193031,,
,50,0.00022638110385742038,3893,,,0.05586941912770271,,
,50,0.00021985000057611614,3926,,,0.07797136157751083,,
,50,,3926,,,,0.06239465996623039,0.06853444129228592
0.009187941439449787,50,,3926,,,,,
,51,0.0002305464440723881,3959,,,0.06655792146921158,,
,51,0.0002195427950937301,3992,,,0.05387343838810921,,
,51,,4003,,,,0.06281735748052597,0.06913655996322632
0.009571622125804424,51,,4003,,,,,
,52,0.00021148496307432652,4025,,,0.04592610150575638,,
,52,0.00021349129383452237,4058,,,0.04098290205001831,,
,52,,4080,,,,0.06447882205247879,0.0644681304693222
0.009970453567802906,52,,4080,,,,,
,53,0.00021964537154417485,4091,,,0.049871813505887985,,
,53,0.00022826396161690354,4124,,,0.06343398988246918,,
,53,0.00019817028078250587,4157,,,0.05148621276021004,,
,53,,4157,,,,0.06106913834810257,0.06484268605709076
0.010358125902712345,53,,4157,,,,,
,54,0.0002590326766949147,4190,,,0.05755960941314697,,
,54,0.00020613602828234434,4223,,,0.05360064283013344,,
,54,,4234,,,,0.06513143330812454,0.06313022971153259
0.010739474557340145,54,,4234,,,,,
,55,0.00023734947899356484,4256,,,0.05445661023259163,,
,55,0.0002419763768557459,4289,,,0.06084734946489334,,
,55,,4311,,,,0.06329619884490967,0.06422926485538483
0.011135343462228775,55,,4311,,,,,
,56,0.00024255133757833391,4322,,,0.05488211661577225,,
,56,0.0002374306641286239,4355,,,0.04849589243531227,,
,56,0.00020653092360589653,4388,,,0.056655555963516235,,
,56,,4388,,,,0.05996624752879143,0.06293664872646332
0.011515309102833271,56,,4388,,,,,
,57,0.0002182766911573708,4421,,,0.04692068323493004,,
,57,0.00024249637499451637,4454,,,0.03675603121519089,,
,57,,4465,,,,0.0650707557797432,0.06265395879745483
0.011892822571098804,57,,4465,,,,,
,58,0.00023913642507977784,4487,,,0.054931361228227615,,
,58,0.00021399602701421827,4520,,,0.06694996356964111,,
,58,,4542,,,,0.06861308962106705,0.0628669485449791
0.012269023805856705,58,,4542,,,,,
,59,0.0002335018216399476,4553,,,0.049968164414167404,,
,59,0.0002391605667071417,4586,,,0.04578293859958649,,
,59,0.00020440836669877172,4619,,,0.05116879940032959,,
,59,,4619,,,,0.06627475470304489,0.06078715994954109
0.012651435099542141,59,,4619,,,,,
,60,,4620,0.06627475470304489,0.06078715994954109,,,
