co2_emissions,epoch,ewc_loss,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,train_loss,val_loss/dataloader_idx_0,val_loss/dataloader_idx_1
,27,0.0,2111,,,0.13771134614944458,,
,27,0.0,2144,,,0.11084175109863281,,
,27,,2163,,,,0.039467159658670425,0.11576288938522339
0.00045639602467417717,27,,2163,,,,,
,28,0.0,2177,,,0.12546008825302124,,
,28,0.0,2210,,,0.09895193576812744,,
,28,0.0,2243,,,0.08410729467868805,,
,28,,2248,,,,0.04855700582265854,0.10368677973747253
0.0008846058626659214,28,,2248,,,,,
,29,0.0,2276,,,0.10867742449045181,,
,29,0.0,2309,,,0.10109661519527435,,
,29,,2333,,,,0.041025906801223755,0.09450399875640869
0.0013054048176854849,29,,2333,,,,,
,30,0.0,2342,,,0.07877407968044281,,
,30,0.0,2375,,,0.10093475878238678,,
,30,0.0,2408,,,0.07908190786838531,,
,30,,2418,,,,0.04175649955868721,0.09237764030694962
0.0017278268933296204,30,,2418,,,,,
,31,0.0,2441,,,0.07927215099334717,,
,31,0.0,2474,,,0.06909587979316711,,
,31,,2503,,,,0.04241294041275978,0.08859758824110031
0.0021402083802968264,31,,2503,,,,,
,32,0.0,2507,,,0.06038786843419075,,
,32,0.0,2540,,,0.08727619796991348,,
,32,0.0,2573,,,0.10452395677566528,,
,32,,2588,,,,0.03881397470831871,0.0848110020160675
0.002566184150055051,32,,2588,,,,,
,33,0.0,2606,,,0.07981397211551666,,
,33,0.0,2639,,,0.0906798243522644,,
,33,0.0,2672,,,0.06863106787204742,,
,33,,2673,,,,0.03863424062728882,0.07897204905748367
0.0029862383380532265,33,,2673,,,,,
,34,0.0,2705,,,0.0837520956993103,,
,34,0.0,2738,,,0.09040166437625885,,
,34,,2758,,,,0.04217979684472084,0.08227074891328812
0.003409402444958687,34,,2758,,,,,
,35,0.0,2771,,,0.08649972081184387,,
,35,0.0,2804,,,0.060711752623319626,,
,35,0.0,2837,,,0.0878756046295166,,
,35,,2843,,,,0.035191670060157776,0.07421376556158066
0.0038403174839913845,35,,2843,,,,,
,36,0.0,2870,,,0.09912541508674622,,
,36,0.0,2903,,,0.05167172849178314,,
,36,,2928,,,,0.042310819029808044,0.07241451740264893
0.004264217801392078,36,,2928,,,,,
,37,0.0,2936,,,0.06132587045431137,,
,37,0.0,2969,,,0.06974264234304428,,
,37,0.0,3002,,,0.054008983075618744,,
,37,,3013,,,,0.03708137199282646,0.07274042814970016
0.00469123013317585,37,,3013,,,,,
,38,0.0,3035,,,0.05162647366523743,,
,38,0.0,3068,,,0.04891662299633026,,
,38,,3098,,,,0.03391002491116524,0.06779473274946213
0.005125615280121565,38,,3098,,,,,
,39,0.0,3101,,,0.05313656106591225,,
,39,0.0,3134,,,0.047868452966213226,,
,39,0.0,3167,,,0.0496799498796463,,
,39,,3183,,,,0.035855185240507126,0.06561047583818436
0.005573893431574106,39,,3183,,,,,
,40,0.0,3200,,,0.04715238884091377,,
,40,0.0,3233,,,0.047074854373931885,,
,40,0.0,3266,,,0.051211029291152954,,
,40,,3268,,,,0.03864443674683571,0.06460230052471161
0.00600034836679697,40,,3268,,,,,
,41,0.0,3299,,,0.06362506747245789,,
,41,0.0,3332,,,0.05189542844891548,,
,41,,3353,,,,0.03476625680923462,0.06320568919181824
0.0064231026917696,41,,3353,,,,,
,42,0.0,3365,,,0.05964093655347824,,
,42,0.0,3398,,,0.04056672379374504,,
,42,0.0,3431,,,0.07454106211662292,,
,42,,3438,,,,0.03566867485642433,0.061082594096660614
0.0068452078849077225,42,,3438,,,,,
,43,0.0,3464,,,0.058176781982183456,,
,43,0.0,3497,,,0.04087857902050018,,
,43,,3523,,,,0.035449497401714325,0.06098289415240288
0.007269280031323433,43,,3523,,,,,
