co2_emissions,epoch,ewc_loss,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,train_loss,val_loss/dataloader_idx_0,val_loss/dataloader_idx_1
,27,0.0,2111,,,0.13349759578704834,,
,27,0.0,2144,,,0.11316518485546112,,
,27,,2159,,,,0.03512231260538101,0.12028098851442337
0.0004689639317803085,27,,2159,,,,,
,28,0.0,2177,,,0.11184455454349518,,
,28,0.0,2210,,,0.12356123328208923,,
,28,,2240,,,,0.04675145819783211,0.10239072889089584
0.0008764982339926064,28,,2240,,,,,
,29,0.0,2243,,,0.09662637859582901,,
,29,0.0,2276,,,0.09134374558925629,,
,29,0.0,2309,,,0.10968641191720963,,
,29,,2321,,,,0.043875277042388916,0.09155099093914032
0.0012840420240536332,29,,2321,,,,,
,30,0.0,2342,,,0.0783550888299942,,
,30,0.0,2375,,,0.09096363186836243,,
,30,,2402,,,,0.048718396574258804,0.09040067344903946
0.0016917597968131304,30,,2402,,,,,
,31,0.0,2408,,,0.07357586175203323,,
,31,0.0,2441,,,0.07184039056301117,,
,31,0.0,2474,,,0.06674253195524216,,
,31,,2483,,,,0.04885459691286087,0.08444195985794067
0.0021021252032369375,31,,2483,,,,,
,32,0.0,2507,,,0.0746421366930008,,
,32,0.0,2540,,,0.07207957655191422,,
,32,,2564,,,,0.04617249220609665,0.07755950093269348
0.002501480281352997,32,,2564,,,,,
,33,0.0,2573,,,0.0747782438993454,,
,33,0.0,2606,,,0.07456894218921661,,
,33,0.0,2639,,,0.0709155723452568,,
,33,,2645,,,,0.0512586310505867,0.0710906833410263
0.0029129860922694206,33,,2645,,,,,
,34,0.0,2672,,,0.06858878582715988,,
,34,0.0,2705,,,0.0678439810872078,,
,34,,2726,,,,0.04396926611661911,0.07074885815382004
0.003326453035697341,34,,2726,,,,,
,35,0.0,2738,,,0.07041388005018234,,
,35,0.0,2771,,,0.06499256193637848,,
,35,0.0,2804,,,0.09952372312545776,,
,35,,2807,,,,0.04753187298774719,0.06763188540935516
0.0037351888604462147,35,,2807,,,,,
,36,0.0,2837,,,0.06590694189071655,,
,36,0.0,2870,,,0.05317482352256775,,
,36,,2888,,,,0.04620547220110893,0.06560999900102615
0.004141135141253471,36,,2888,,,,,
,37,0.0,2903,,,0.06036273017525673,,
,37,0.0,2936,,,0.05824056267738342,,
,37,0.0,2969,,,0.05045168846845627,,
,37,,2969,,,,0.04314569756388664,0.0663248673081398
0.004555911757051945,37,,2969,,,,,
,38,0.0,3002,,,0.06157974153757095,,
,38,0.0,3035,,,0.05471637099981308,,
,38,,3050,,,,0.04656591638922691,0.06900977343320847
0.004963993560522795,38,,3050,,,,,
,39,0.0,3068,,,0.044883593916893005,,
,39,0.0,3101,,,0.0513206347823143,,
,39,,3131,,,,0.047905776649713516,0.07106023281812668
0.0053676883690059185,39,,3131,,,,,
,40,0.0,3134,,,0.05384993553161621,,
,40,0.0,3167,,,0.039648495614528656,,
,40,0.0,3200,,,0.04399263858795166,,
,40,,3212,,,,0.03989424929022789,0.059768982231616974
0.005805809050798416,40,,3212,,,,,
,41,0.0,3233,,,0.05210397392511368,,
,41,0.0,3266,,,0.06726245582103729,,
,41,,3293,,,,0.04265747219324112,0.06134313717484474
0.006220854818820953,41,,3293,,,,,
,42,0.0,3299,,,0.06248039752244949,,
,42,0.0,3332,,,0.05202833190560341,,
,42,0.0,3365,,,0.041234418749809265,,
,42,,3374,,,,0.043190110474824905,0.05940522998571396
0.006633721757680178,42,,3374,,,,,
,43,0.0,3398,,,0.04681526869535446,,
,43,0.0,3431,,,0.04633072763681412,,
,43,,3455,,,,0.04574558511376381,0.06302740424871445
0.007043215446174145,43,,3455,,,,,
,44,0.0,3464,,,0.05096118152141571,,
,44,0.0,3497,,,0.045645520091056824,,
,44,0.0,3530,,,0.05633987486362457,,
,44,,3536,,,,0.04014303535223007,0.0548117533326149
0.0074429381638765335,44,,3536,,,,,
,45,0.0,3563,,,0.031060628592967987,,
,45,0.0,3596,,,0.04328912869095802,,
,45,,3617,,,,0.041355498135089874,0.058059897273778915
0.007851856760680676,45,,3617,,,,,
,46,0.0,3629,,,0.05273764580488205,,
,46,0.0,3662,,,0.042052529752254486,,
,46,0.0,3695,,,0.03085356019437313,,
,46,,3698,,,,0.03810491785407066,0.05423915758728981
0.008249327540397644,46,,3698,,,,,
,47,0.0,3728,,,0.04568585753440857,,
,47,0.0,3761,,,0.04814774543046951,,
,47,,3779,,,,0.042435020208358765,0.05709238722920418
0.00865607988089323,47,,3779,,,,,
,48,0.0,3794,,,0.05141129344701767,,
,48,0.0,3827,,,0.03630354255437851,,
,48,0.0,3860,,,0.04095173999667168,,
,48,,3860,,,,0.039848167449235916,0.055094946175813675
0.009065690450370312,48,,3860,,,,,
,49,0.0,3893,,,0.03409314155578613,,
,49,0.0,3926,,,0.03042702004313469,,
,49,,3941,,,,0.03737756982445717,0.05279623344540596
0.009478114545345306,49,,3941,,,,,
,50,0.0,3959,,,0.051313456147909164,,
,50,0.0,3992,,,0.035046566277742386,,
,50,,4022,,,,0.047223515808582306,0.05650436505675316
0.009884783998131752,50,,4022,,,,,
,51,0.0,4025,,,0.03777964413166046,,
,51,0.0,4058,,,0.03292418271303177,,
,51,0.0,4091,,,0.039297159761190414,,
,51,,4103,,,,0.040355488657951355,0.055141955614089966
0.01029823999851942,51,,4103,,,,,
,52,0.0,4124,,,0.025231994688510895,,
,52,0.0,4157,,,0.030714169144630432,,
,52,,4184,,,,0.03875253349542618,0.050330761820077896
