co2_emissions,epoch,ewc_loss,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,train_loss,val_loss/dataloader_idx_0,val_loss/dataloader_idx_1,val_loss/dataloader_idx_2
,27,0.0,2111,,,0.11173230409622192,,,
,27,0.0,2144,,,0.07555247843265533,,,
,27,0.0,2177,,,0.04749574884772301,,,
,27,0.0,2210,,,0.09860581904649734,,,
,27,,2232,,,,0.029151011258363724,0.1137913316488266,0.07144108414649963
0.0007878177566453815,27,,2232,,,,,,
,28,0.0,2243,,,0.06945128738880157,,,
,28,0.0,2276,,,0.05762976408004761,,,
,28,0.0,2309,,,0.06566350907087326,,,
,28,0.0,2342,,,0.0827447921037674,,,
,28,0.0,2375,,,0.06332869827747345,,,
,28,,2386,,,,0.028101233765482903,0.09935128688812256,0.06370095163583755
0.0015976373106241226,28,,2386,,,,,,
,29,0.0,2408,,,0.06924106180667877,,,
,29,0.0,2441,,,0.07315157353878021,,,
,29,0.0,2474,,,0.046097058802843094,,,
,29,0.0,2507,,,0.08623549342155457,,,
,29,0.0,2540,,,0.0797075405716896,,,
,29,,2540,,,,0.027111662551760674,0.09559939056634903,0.06133119761943817
0.0023684960324317217,29,,2540,,,,,,
,30,0.0,2573,,,0.05388323962688446,,,
,30,0.0,2606,,,0.05229773372411728,,,
,30,0.0,2639,,,0.052842359989881516,,,
,30,0.0,2672,,,0.05509186536073685,,,
,30,,2694,,,,0.02750864066183567,0.08869317919015884,0.058079179376363754
0.0031450011301785707,30,,2694,,,,,,
,31,0.0,2705,,,0.05625232309103012,,,
,31,0.0,2738,,,0.04138389229774475,,,
,31,0.0,2771,,,0.05889821797609329,,,
,31,0.0,2804,,,0.059232644736766815,,,
,31,0.0,2837,,,0.04191073030233383,,,
,31,,2848,,,,0.02724211849272251,0.08691766113042831,0.05705869197845459
0.0039230212569236755,31,,2848,,,,,,
,32,0.0,2870,,,0.08272663503885269,,,
,32,0.0,2903,,,0.046286024153232574,,,
,32,0.0,2936,,,0.03740893304347992,,,
,32,0.0,2969,,,0.05685869976878166,,,
,32,0.0,3002,,,0.03981726989150047,,,
,32,,3002,,,,0.027035174891352654,0.08531872928142548,0.05615626275539398
0.004702306818217039,32,,3002,,,,,,
,33,0.0,3035,,,0.04828505218029022,,,
,33,0.0,3068,,,0.06498626619577408,,,
,33,0.0,3101,,,0.041348040103912354,,,
,33,0.0,3134,,,0.04440233111381531,,,
,33,,3156,,,,0.024947484955191612,0.07895258069038391,0.051930855959653854
0.005470294505357742,33,,3156,,,,,,
,34,0.0,3167,,,0.0471324548125267,,,
,34,0.0,3200,,,0.05720831826329231,,,
,34,0.0,3233,,,0.053781937807798386,,,
,34,0.0,3266,,,0.030017638579010963,,,
,34,0.0,3299,,,0.050421420484781265,,,
,34,,3310,,,,0.026736153289675713,0.07702208310365677,0.05186126008629799
0.006235194858163595,34,,3310,,,,,,
,35,0.0,3332,,,0.038392022252082825,,,
,35,0.0,3365,,,0.04429744929075241,,,
,35,0.0,3398,,,0.057852603495121,,,
