co2_emissions,epoch,ewc_loss,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,train_loss,val_loss/dataloader_idx_0,val_loss/dataloader_idx_1,val_loss/dataloader_idx_2
,27,0.0,2111,,,0.10473325848579407,,,
,27,0.0,2144,,,0.06629111617803574,,,
,27,0.0,2177,,,0.07699384540319443,,,
,27,0.0,2210,,,0.07218612730503082,,,
,27,,2232,,,,0.02861938439309597,0.10578659921884537,0.06717558950185776
0.0007967099663801491,27,,2232,,,,,,
,28,0.0,2243,,,0.06733398139476776,,,
,28,0.0,2276,,,0.05975048243999481,,,
,28,0.0,2309,,,0.058162420988082886,,,
,28,0.0,2342,,,0.05795079469680786,,,
,28,0.0,2375,,,0.05220666900277138,,,
,28,,2386,,,,0.02775774896144867,0.09836408495903015,0.06303583085536957
0.0015867637703195214,28,,2386,,,,,,
,29,0.0,2408,,,0.0502798967063427,,,
,29,0.0,2441,,,0.05616423487663269,,,
,29,0.0,2474,,,0.052837833762168884,,,
,29,0.0,2507,,,0.0665360763669014,,,
,29,0.0,2540,,,0.07061037421226501,,,
,29,,2540,,,,0.028097696602344513,0.09136143326759338,0.059707093983888626
0.0023683984763920307,29,,2540,,,,,,
,30,0.0,2573,,,0.06600362807512283,,,
,30,0.0,2606,,,0.050384122878313065,,,
,30,0.0,2639,,,0.055413804948329926,,,
,30,0.0,2672,,,0.03606073930859566,,,
,30,,2694,,,,0.03024320863187313,0.08669589459896088,0.058449503034353256
0.0031474323477596045,30,,2694,,,,,,
,31,0.0,2705,,,0.05081891268491745,,,
,31,0.0,2738,,,0.06997284293174744,,,
,31,0.0,2771,,,0.03614664077758789,,,
,31,0.0,2804,,,0.04997031390666962,,,
,31,0.0,2837,,,0.0404965877532959,,,
,31,,2848,,,,0.0274306982755661,0.08790035545825958,0.05764404311776161
0.003928487189114094,31,,2848,,,,,,
,32,0.0,2870,,,0.07249128818511963,,,
,32,0.0,2903,,,0.06312306225299835,,,
,32,0.0,2936,,,0.052814584225416183,,,
,32,0.0,2969,,,0.046759847551584244,,,
,32,0.0,3002,,,0.048973001539707184,,,
,32,,3002,,,,0.027570372447371483,0.07749350368976593,0.0525142066180706
0.004705831874161959,32,,3002,,,,,,
,33,0.0,3035,,,0.050235942006111145,,,
,33,0.0,3068,,,0.04913372918963432,,,
,33,0.0,3101,,,0.04152530059218407,,,
,33,0.0,3134,,,0.03141040354967117,,,
,33,,3156,,,,0.027156643569469452,0.07184263318777084,0.0494837649166584
0.005482799839228392,33,,3156,,,,,,
,34,0.0,3167,,,0.05292747542262077,,,
,34,0.0,3200,,,0.04678766056895256,,,
,34,0.0,3233,,,0.04419036954641342,,,
,34,0.0,3266,,,0.033587176352739334,,,
,34,0.0,3299,,,0.03553863242268562,,,
,34,,3310,,,,0.027858898043632507,0.07301238924264908,0.050419606268405914
0.0062453546561300755,34,,3310,,,,,,
,35,0.0,3332,,,0.049231406301259995,,,
,35,0.0,3365,,,0.049616243690252304,,,
,35,0.0,3398,,,0.036412522196769714,,,
,35,0.0,3431,,,0.03646314516663551,,,
,35,0.0,3464,,,0.046117790043354034,,,
,35,,3464,,,,0.025719374418258667,0.06702585518360138,0.04635794833302498
0.007017459254711866,35,,3464,,,,,,
,36,0.0,3497,,,0.040241703391075134,,,
,36,0.0,3530,,,0.04250087961554527,,,
,36,0.0,3563,,,0.0385250449180603,,,
,36,0.0,3596,,,0.03865226358175278,,,
,36,,3618,,,,0.027230095118284225,0.06650669872760773,0.04685444384813309
0.007802930660545826,36,,3618,,,,,,
,37,0.0,3629,,,0.03406558930873871,,,
,37,0.0,3662,,,0.04984521120786667,,,
,37,0.0,3695,,,0.04606889560818672,,,
,37,0.0,3728,,,0.030737511813640594,,,
,37,0.0,3761,,,0.03945071995258331,,,
,37,,3772,,,,0.02763020060956478,0.06534375250339508,0.04647357389330864
0.008569113910198212,37,,3772,,,,,,
,38,0.0,3794,,,0.03251950070261955,,,
,38,0.0,3827,,,0.03474811464548111,,,
,38,0.0,3860,,,0.04898519068956375,,,
,38,0.0,3893,,,0.029961640015244484,,,
,38,0.0,3926,,,0.041506096720695496,,,
,38,,3926,,,,0.025750603526830673,0.06351852416992188,0.04462115466594696
0.009357721544802189,38,,3926,,,,,,
,39,0.0,3959,,,0.031130904331803322,,,
,39,0.0,3992,,,0.038817282766103745,,,
,39,0.0,4025,,,0.04937957227230072,,,
,39,0.0,4058,,,0.05391441658139229,,,
,39,,4080,,,,0.026424746960401535,0.07286370545625687,0.04962773248553276
0.01013140007853508,39,,4080,,,,,,
,40,0.0,4091,,,0.02996857278048992,,,
,40,0.0,4124,,,0.04163491725921631,,,
,40,0.0,4157,,,0.03056981973350048,,,
,40,0.0,4190,,,0.036809682846069336,,,
,40,0.0,4223,,,0.033552952110767365,,,
,40,,4234,,,,0.025722147896885872,0.061541084200143814,0.04361889511346817
0.010906475596129894,40,,4234,,,,,,
,41,0.0,4256,,,0.05022971332073212,,,
,41,0.0,4289,,,0.03923308849334717,,,
,41,0.0,4322,,,0.03891336917877197,,,
,41,0.0,4355,,,0.02358856052160263,,,
,41,0.0,4388,,,0.047734037041664124,,,
,41,,4388,,,,0.02608114294707775,0.06123590096831322,0.043646033853292465
0.011682581156492233,41,,4388,,,,,,
,42,0.0,4421,,,0.021418612450361252,,,
,42,0.0,4454,,,0.030343040823936462,,,
,42,0.0,4487,,,0.028988653793931007,,,
,42,0.0,4520,,,0.032457467168569565,,,
