co2_emissions,epoch,ewc_loss,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,train_loss,val_loss/dataloader_idx_0,val_loss/dataloader_idx_1
,27,8.566655158996582,2111,,,8.704270362854004,,
,27,1.310238242149353,2144,,,1.4833791255950928,,
,27,,2155,,,,0.026735523715615273,0.12986896932125092
0.00041574868373572826,27,,2155,,,,,
,28,0.1335761845111847,2177,,,0.2258448749780655,,
,28,0.001651877537369728,2210,,,0.15047135949134827,,
,28,,2232,,,,0.02820080704987049,0.11954767256975174
0.000815748586319387,28,,2232,,,,,
,29,0.0003819803532678634,2243,,,0.14666315913200378,,
,29,0.00029015628388151526,2276,,,0.12461620569229126,,
,29,0.00025231618201360106,2309,,,0.10337822884321213,,
,29,,2309,,,,0.03301994875073433,0.10797405242919922
0.0012075307313352823,29,,2309,,,,,
,30,0.00022089197591412812,2342,,,0.09826083481311798,,
,30,0.00022418260050471872,2375,,,0.10904200375080109,,
,30,,2386,,,,0.030538270249962807,0.10361018031835556
0.001613829517737031,30,,2386,,,,,
,31,0.0001932371815200895,2408,,,0.08454826474189758,,
,31,0.00020079610112588853,2441,,,0.1073748916387558,,
,31,,2463,,,,0.03279007598757744,0.09911727905273438
0.0020089007448405027,31,,2463,,,,,
,32,0.000227135416935198,2474,,,0.10410045087337494,,
,32,0.00020934786880388856,2507,,,0.10757476091384888,,
,32,0.00022796857228968292,2540,,,0.10008354485034943,,
,32,,2540,,,,0.035010747611522675,0.10433661937713623
0.0024101054295897484,32,,2540,,,,,
,33,0.00023080877144820988,2573,,,0.12643949687480927,,
,33,0.00022461905609816313,2606,,,0.10246461629867554,,
,33,,2617,,,,0.03789007291197777,0.09413248300552368
0.0028160440269857645,33,,2617,,,,,
,34,0.00021053070668131113,2639,,,0.09961964935064316,,
,34,0.00021415292576421052,2672,,,0.08675726503133774,,
,34,,2694,,,,0.03788897022604942,0.09249406307935715
0.0032138065434992313,34,,2694,,,,,
,35,0.00019975716713815928,2705,,,0.05108394846320152,,
,35,0.00019940108177252114,2738,,,0.09082179516553879,,
,35,0.00019954715389758348,2771,,,0.08413705974817276,,
,35,,2771,,,,0.03881758823990822,0.08997765183448792
0.0036076754331588745,35,,2771,,,,,
,36,0.0002061746927211061,2804,,,0.07680466771125793,,
,36,0.0002063293504761532,2837,,,0.07631807774305344,,
,36,,2848,,,,0.04275771602988243,0.08865027129650116
0.004004068206995726,36,,2848,,,,,
,37,0.00020834723545704037,2870,,,0.06925904750823975,,
,37,0.0002074218646157533,2903,,,0.07579712569713593,,
,37,,2925,,,,0.042208537459373474,0.08665730804204941
0.004396087024360895,37,,2925,,,,,
,38,0.0001853914582170546,2936,,,0.08949126303195953,,
,38,0.00021080748410895467,2969,,,0.09954850375652313,,
,38,0.000231597907259129,3002,,,0.09382513165473938,,
,38,,3002,,,,0.04405771195888519,0.08775462210178375
0.004795863758772612,38,,3002,,,,,
,39,0.0001984413538593799,3035,,,0.10135842859745026,,
,39,0.00021715817274525762,3068,,,0.07095319032669067,,
,39,,3079,,,,0.04476480931043625,0.08339867740869522
0.0052018435671925545,39,,3079,,,,,
,40,0.000203987248823978,3101,,,0.06616734713315964,,
,40,0.00021947294590063393,3134,,,0.08856526762247086,,
,40,,3156,,,,0.043834250420331955,0.08233281224966049
0.005625369492918253,40,,3156,,,,,
,41,0.0002014439378399402,3167,,,0.07957271486520767,,
,41,0.00020061072427779436,3200,,,0.08159562945365906,,
,41,0.00020649636280722916,3233,,,0.07695119827985764,,
,41,,3233,,,,0.04795525223016739,0.08137266337871552
0.006035550497472286,41,,3233,,,,,
